width;height;distance;volume
164;123;72,10087776184080;10L
218;319;70,38235664367680;20L
211;329;74,9056339263916;20L
209;330;77,25644111633300;20L
204;322;72,4494457244873;20L
217;305;72,53050804138180;20L
234;307;75,95539093017580;20L
243;312;80,62863349914550;20L
230;315;81,96616172790530;20L
226;314;82,53765106201170;20L
204;290;81,92157745361330;20L
213;290;81,56895637512210;20L
215;286;81,2082290649414;20L
212;284;81,38656616210940;20L
211;283;81,11906051635740;20L
210;281;80,1706314086914;20L
209;285;79,5140266418457;20L
211;286;78,25756072998050;20L
206;293;81,13527297973630;20L
211;293;81,26497268676760;20L
211;295;81,52437210083010;20L
210;294;80,97720146179200;20L
212;294;80,09767532348630;20L
208;294;78,55749130249020;20L
207;297;77,55637168884280;20L
210;293;77,09026336669920;20L
223;301;76,12967491149900;20L
224;305;76,34854316711430;20L
224;311;77,47125625610350;20L
217;297;76,50256156921390;20L
233;303;74,3868350982666;20L
234;307;74,23686981201170;20L
229;307;72,85881042480470;20L
226;309;71,50506973266600;20L
224;317;70,68634033203130;20L
236;326;67,79646873474120;20L
226;318;71,92659378051760;20L
220;313;74,55301284790040;20L
220;309;73,27628135681150;20L
219;313;73,21953773498540;20L
230;317;71,95901870727540;20L
228;317;73,88019561767580;20L
226;316;71,74825668334960;20L
232;332;67,45600700378420;20L
228;326;71,22135162353520;20L
229;326;73,73833656311040;20L
218;314;75,30689239501950;20L
219;312;76,09319686889650;20L
212;310;76,12967491149900;20L
214;309;77,59284973144530;20L
215;309;78,05085182189940;20L
212;299;78,73177528381350;20L
207;299;77,8360366821289;20L
208;300;77,4388313293457;20L
207;298;76,49445533752440;20L
202;288;82,59844779968260;20L
191;292;83,50634574890140;10L
193;290;83,86707305908200;10L
201;285;85,06274223327640;20L
188;289;85,86931228637700;10L
199;276;85,90173721313480;20L
197;273;86,92312240600590;20L
198;273;86,23003959655760;20L
203;274;84,21969413757320;20L
207;280;83,91571044921880;20L
205;278;85,18433570861820;20L
207;280;80,9488296508789;20L
200;291;78,63044738769530;10L
207;294;75,1488208770752;20L
208;298;74,40304756164550;20L
208;302;73,83155822753910;20L
210;304;72,63994216918950;20L
222;315;76,62415504455570;20L
215;314;80,75833320617680;20L
199;294;82,58223533630370;20L
197;295;84,29265022277830;20L
196;280;87,158203125;20L
199;271;90,30342102050780;20L
196;270;89,85757827758790;20L
198;271;91,70174598693850;20L
196;268;92,47994422912600;20L
196;265;93,4000015258789;20L
195;268;94,25115585327150;20L
189;271;91,30454063415530;20L
192;271;90,04402160644530;20L
198;275;87,09335327148440;20L
191;275;90,10481834411620;20L
198;263;93,21355819702150;20L
197;263;95,55220603942870;20L
194;263;95,94130516052250;20L
194;261;97,01943397521970;20L
190;259;97,60713577270510;20L
186;257;98,45423698425290;20L
176;247;105,74579238891600;20L
171;238;106,42266273498500;20L
168;238;106,84418678283700;20L
168;236;109,28010940551800;20L
164;230;110,40282249450700;20L
164;228;110,53657531738300;20L
159;226;112,42532730102500;20L
160;225;112,38479614257800;20L
160;224;115,5097484588620;20L
161;223;115,25845527648900;20L
161;223;115,78130722045900;20L
160;219;116,7905330657960;20L
161;216;117,52820014953600;20L
159;223;106,95362091064500;20L
166;228;99,44319725036620;20L
183;244;94,97666358947750;20L
189;274;89,19286727905270;20L
195;289;85,29376983642580;10L
